Body
Date,Weight,BMI,Fat
2018-08-28,149.7,0,0
2018-08-28,150.6,0,0
2018-09-25,151.3,0,0
2018-09-25,151.3,0,0
2018-10-05,149.7,0,0
2018-10-05,149.7,0,0
2018-10-09,151.5,0,0
2018-10-09,151.5,0,0
2018-10-10,148.0,0,0
2018-10-10,148.0,0,0
2018-10-16,148.8,0,0
2018-10-16,148.8,0,0
2018-10-17,149.9,0,0
2018-10-17,149.9,0,0
2018-10-29,155.9,0,0
2018-10-29,155.9,0,0
2018-11-17,159.2,0,0
2018-11-18,159.2,0,0
2019-05-12,170.7,0,0
2019-05-13,166.9,0,0
2019-05-14,168.0,0,0
2019-05-16,168.5,0,0
2019-05-16,167.8,0,0
2019-05-17,166.7,0,0
2019-05-20,166.3,0,0
2019-05-20,165.2,0,0
2019-05-24,167.1,0,0
2019-05-24,165.2,0,0
2019-05-24,165.2,0,0
2019-05-25,165.2,0,0
2019-05-26,165.2,0,0
2019-05-28,165.2,0,0
2019-05-29,164.5,0,0
2019-06-06,164.7,0,0
2019-06-10,164.7,0,0
2019-06-11,163.2,0,0
2019-06-12,165.6,0,0
2019-06-13,164.0,0,0
2019-06-27,163.6,0,0
2019-06-27,163.6,0,0
2019-06-30,162.7,0,0
2019-07-02,162.6,0,0
2019-07-02,162.6,0,0
2019-07-02,160.8,0,0
2019-07-10,159.8,0,0
2019-07-11,159.8,0,0
2019-07-11,160.9,0,0
2019-07-15,163.6,0,0
2019-07-16,160.2,0,0
2019-07-26,161.0,0,0
2019-07-29,156.6,0,0
2019-07-30,158.3,0,0
2019-08-01,157.1,0,0
2019-08-05,159.1,0,0
2019-08-09,156.0,0,0
2019-08-09,156.0,0,0
2019-08-12,158.5,0,0
2019-08-12,154.8,0,0
2019-08-13,155.6,0,0
2019-08-14,157.5,0,0
2019-08-16,162.4,0,0
2019-08-19,155.0,0,0
2019-08-21,155.8,0,0
2019-08-22,155.8,0,0
2019-08-22,154.3,0,0
2019-08-27,153.5,0,0
2019-09-04,154.3,0,0
2019-09-05,158.8,0,0
2019-09-08,156.8,0,0
2019-09-09,156.8,0,0
2019-09-10,156.8,0,0
2019-09-10,153.0,0,0
2019-09-13,157.8,0,0
2019-09-18,152.6,0,0
2019-09-18,153.6,0,0
2019-09-19,152.1,0,0
2019-09-19,152.1,0,0
2019-09-23,156.5,0,0
2019-09-25,159.1,0,0
2019-11-07,157.7,0,0
2019-11-07,157.7,0,0
2019-11-08,156.8,0,0
2019-11-11,158.6,0,0
2019-11-14,157.9,0,0
2019-12-09,156.3,0,0
2019-12-09,157.4,0,0
2019-12-19,152.8,0,0
2020-01-18,155.2,0,0
2020-01-18,153.9,0,0
2020-01-18,153.9,0,0
2020-01-18,153.9,0,0
2020-03-08,154.8,0,0
2020-05-11,163.6,0,0
2020-06-17,166.3,0,0
2020-06-17,166.0,0,0
2020-06-18,164.7,0,0
2020-06-21,162.7,0,0
2020-08-05,163.8,0,0
2020-08-12,166.0,0,0
2020-08-12,166.0,0,0
2020-08-17,166.9,0,0
2020-08-18,163.6,0,0
2020-08-18,164.7,0,0
2020-08-19,163.6,0,0
2020-08-20,163.6,0,0
2020-08-20,163.6,0,0
2020-08-20,163.6,0,0
2020-08-21,165.2,0,0
2020-08-22,164.3,0,0
2020-08-24,166.0,0,0
2020-08-29,165.8,0,0
2020-09-03,161.8,0,0
2020-09-03,165.4,0,0
2020-09-10,162.1,0,0
2020-09-12,160.7,0,0
2020-09-18,160.7,0,0
2020-09-18,160.7,0,0
2020-09-28,162.9,0,0
2020-11-14,165.6,0,0
2021-04-13,170.7,0,0
2021-05-04,166.0,0,0
2021-05-04,166.0,0,0
2021-05-06,166.3,0,0
2021-05-14,166.7,0,0
2021-07-06,164.7,0,0
2021-07-08,168.9,0,0
2021-07-08,168.9,0,0
2021-07-08,168.9,0,0
2021-07-12,170.2,0,0
2021-08-06,165.4,0,0
2023-03-07,169.3,0,0
2023-03-08,169.3,0,0
2023-03-11,169.1,0,0
2023-04-02,169.6,0,0
2023-04-02,169.6,0,0
2023-04-05,166.7,0,0
2023-04-05,166.7,0,0
2023-04-06,165.6,0,0
2023-04-08,166.9,0,0
2023-04-20,165.2,0,0
2023-04-20,165.2,0,0
2023-04-22,168.2,0,0
2023-04-25,167.1,0,0
2023-04-27,166.9,0,0
2023-06-26,163.6,0,0
2024-05-12,172.0,0,0
2024-05-13,176.4,0,0
2024-05-22,172.0,0,0
2024-05-28,170.9,0,0
2024-06-03,168.7,0,0
2024-06-06,165.4,0,0
2024-06-18,163.2,0,0
2024-07-08,162.1,0,0
2024-07-10,161.0,0,0
2024-07-21,160.5,0,0
2024-07-22,159.9,0,0
2024-07-30,158.8,0,0
2024-07-31,157.9,0,0
2024-08-02,156.6,0,0
2024-08-14,153.2,0,0
